"ID","gender","sped","frlunch","esol","black","white","hispanic","asian","age","pretest","posttest"
23451031,1,0,1,0,0,1,0,0,12.914442,216,221
23451389,1,1,1,1,0,0,1,0,12.40794,232,224
23452305,1,0,1,0,1,0,0,0,12.689938,243,245
23450865,0,0,1,0,1,0,0,0,12.599589,229,227
23451487,0,NA,0,NA,0,1,0,0,12.640657,226,235
23451991,0,0,0,0,0,1,0,0,12.520192,207,230
23452397,0,0,1,0,0,0,1,0,12.651608,222,223
23450640,1,0,1,0,1,0,0,0,13.037645,201,223
23452291,0,0,1,1,0,0,1,0,12.268309,211,229
23450258,1,0,1,1,0,0,1,0,12.73922,215,209
23452745,1,0,0,0,0,1,0,0,13.295003,235,241
23450224,0,0,0,0,0,1,0,0,12.383299,232,232
23452115,0,0,1,0,1,0,0,0,12.268309,228,235
23452203,NA,0,0,0,NA,NA,NA,NA,NA,215,226
23451765,0,0,1,0,0,0,1,0,12.70089,202,216
23452015,0,0,1,0,1,0,0,0,14.255989,215,208
23450714,1,0,1,0,0,1,0,0,12.793977,231,227
23450750,0,0,1,0,1,0,0,0,11.685147,213,237
23452014,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,220
23450230,1,0,1,0,0,0,1,0,12.309377,241,250
23452152,1,0,1,0,1,0,0,0,12.884326,211,214
23451144,0,0,0,0,1,0,0,0,12.161533,216,224
23450149,1,0,0,0,0,1,0,0,12.276523,248,248
23452166,1,0,1,0,1,0,0,0,13.36345,206,220
23450998,0,0,0,0,1,0,0,0,12.344969,214,226
23452149,0,0,1,0,1,0,0,0,12.380561,206,218
23452284,1,0,1,0,1,0,0,0,12.213552,223,224
23450802,1,0,1,0,1,0,0,0,12.093087,216,231
23452038,0,0,1,0,1,0,0,0,12.821355,209,213
23451725,0,0,0,0,0,0,0,0,12.599589,215,194
23450449,1,0,1,1,1,0,0,0,13.13347,218,207
23452322,1,0,1,0,0,0,1,0,12.706366,218,215
23450205,0,0,0,0,0,1,0,0,12.429843,223,227
23452513,0,0,0,0,0,1,0,0,12.939083,216,210
23451543,1,NA,1,1,0,0,1,0,13.839836,206,228
23451267,0,0,1,0,0,1,0,0,13.182752,192,220
23451530,1,0,1,0,0,0,1,0,12.229979,201,208
23450982,1,0,0,0,0,0,1,0,12.175222,212,205
23452748,1,0,0,0,1,0,0,0,12.049281,215,233
23450693,0,0,1,0,0,0,0,0,12.731006,227,238
23450878,0,0,1,0,1,0,0,0,12.678987,215,210
23451425,1,1,0,0,0,0,1,0,13.163587,196,213
23451351,1,0,1,1,0,0,1,0,12.665298,217,225
23450977,0,0,0,0,0,1,0,0,12.487337,210,210
23452220,0,0,1,0,1,0,0,0,12.566735,208,226
23452345,0,0,1,0,0,0,1,0,12.555784,200,218
23451241,1,0,1,0,1,0,0,0,12.306639,240,243
23452339,1,1,1,1,0,0,1,0,12.438056,199,205
23451147,0,0,0,0,0,0,0,0,12.881588,206,225
23451825,0,0,1,0,0,0,1,0,12.062971,212,227
23450700,0,0,1,0,1,0,0,0,12.900753,214,224
23451603,0,0,1,0,1,0,0,0,13.28679,213,221
23451554,1,0,0,1,1,0,0,0,11.449692,200,225
23450799,1,0,1,0,1,0,0,0,15.504449,207,217
23450483,0,0,0,0,0,1,0,0,12.824093,214,232
23451738,1,0,1,0,1,0,0,0,12.005476,212,203
23451309,0,1,1,0,1,0,0,0,11.704312,208,222
23452121,1,0,0,0,0,1,0,0,12.339493,246,239
23451137,0,0,0,0,0,1,0,0,12.50924,224,233
23451746,1,0,1,0,0,0,1,0,13.566051,217,199
23450550,0,0,1,0,0,0,1,0,13.130732,223,213
23450568,1,0,1,1,0,0,1,0,13.765914,220,216
23452103,0,0,1,0,1,0,0,0,12.755647,212,222
23451015,0,0,0,0,1,0,0,0,12.528405,214,202
23452649,0,0,1,0,1,0,0,0,11.780972,211,226
23450771,1,1,1,0,1,0,0,0,13.678303,186,203
23452471,1,0,0,0,0,1,0,0,12.925394,207,191
23452641,1,0,1,0,1,0,0,0,12.511978,190,220
23450656,1,0,1,0,1,0,0,0,13.511294,198,204
23450546,1,0,0,0,0,1,0,0,12.900753,230,220
23451260,0,0,1,0,0,1,0,0,11.693361,213,229
23451986,0,0,0,0,1,0,0,0,12.657084,211,234
23452086,0,0,1,0,1,0,0,0,13.03217,225,218
23451691,0,0,1,1,0,0,1,0,12.720055,223,224
23450894,1,0,1,1,0,0,1,0,12.342231,222,225
23452289,0,0,1,0,0,0,1,0,12.084873,232,235
23450045,1,1,0,0,0,1,0,0,12.70089,243,249
23452022,NA,0,1,0,NA,NA,NA,NA,NA,214,216
23452474,0,1,1,0,0,1,0,0,13.232033,191,197
23451096,0,0,0,0,0,1,0,0,12.13963,230,243
23452684,0,0,0,0,0,1,0,0,11.931554,209,225
23450457,0,0,0,0,0,0,0,0,12.257358,228,228
23452517,0,0,1,0,0,0,0,1,12.276523,225,239
23452118,1,0,1,0,1,0,0,0,12.566735,212,225
23452351,0,0,1,0,0,0,1,0,12.462697,201,190
23451827,1,0,1,1,0,0,1,0,13.563313,196,201
23451893,1,0,1,0,0,0,1,0,12.312115,229,237
23450484,1,0,0,0,0,0,0,0,13.190965,200,224
23450343,0,0,0,0,0,0,1,0,13.09514,215,219
23451637,1,0,1,1,0,0,1,0,12.084873,195,210
23451058,1,0,0,0,0,1,0,0,13.037645,214,245
23451205,0,0,1,0,1,0,0,0,12.046543,211,206
23450084,1,0,1,0,1,0,0,0,12.810404,211,204
23451094,1,0,0,0,0,1,0,0,12.966461,237,229
23452605,1,0,0,0,0,1,0,0,13.251198,225,237
23451685,1,0,1,1,0,0,1,0,12.637919,203,222
23452002,0,0,0,0,0,1,0,0,12.594114,226,221
23452735,1,0,1,0,0,0,1,0,12.010951,201,217
23451519,1,0,1,1,0,0,1,0,12.219028,206,212
23450623,1,1,0,0,0,1,0,0,12.821355,225,228
23451985,1,0,0,0,0,1,0,0,12.232717,205,236
23451322,0,0,1,1,0,0,1,0,12.424367,214,225
23450455,1,0,0,0,0,1,0,0,12.021903,236,226
23451963,1,0,0,0,0,1,0,0,12.13963,235,239
23450953,0,0,0,0,0,1,0,0,12.071184,218,241
23451661,0,0,1,0,0,0,1,0,12.750171,218,219
23451773,0,0,0,0,1,0,0,0,11.813826,210,213
23451680,0,1,1,0,0,1,0,0,13.549624,198,219
23451300,0,1,1,0,1,0,0,0,12.202601,188,201
23450702,1,0,1,0,1,0,0,0,13.549624,199,227
23452276,1,0,1,1,0,0,1,0,12.673511,213,225
23452700,0,0,1,0,1,0,0,0,13.880903,195,209
23450386,0,0,0,0,0,1,0,0,12.481862,212,212
23451009,0,0,0,0,1,0,0,0,12.134155,221,218
23451445,1,0,1,0,1,0,0,0,12.002738,200,226
23452301,0,0,0,0,0,1,0,0,12.854209,223,221
23451504,0,NA,0,NA,0,0,1,0,12.262834,212,236
23451251,0,0,1,0,1,0,0,0,12.169747,225,216
23451029,1,0,0,0,1,0,0,0,12.47091,213,226
23452362,0,0,1,0,0,0,1,0,13.021218,203,227
23451301,1,0,1,0,0,1,0,0,11.84668,224,226
23450068,0,0,1,1,0,0,0,1,12.057495,207,228
23451027,0,0,0,0,0,1,0,0,12.528405,224,232
23450844,0,0,1,0,1,0,0,0,12.944559,208,221
23452144,0,0,1,0,1,0,0,0,11.978097,213,227
23450888,0,0,1,0,0,0,1,0,12.865161,220,229
23451250,0,0,1,0,1,0,0,0,12.320329,207,224
23452028,NA,0,1,0,NA,NA,NA,NA,NA,207,211
23452420,0,0,0,0,0,1,0,0,12.062971,206,221
23450465,0,0,0,0,0,1,0,0,12.057495,207,211
23451533,0,0,1,1,0,0,1,0,12.887064,215,213
23451673,0,0,1,0,0,0,1,0,12.867899,194,221
23450170,0,1,0,0,1,0,0,0,12.818617,214,213
23450240,0,0,0,1,0,0,1,0,12.621492,206,222
23451667,1,0,0,0,0,1,0,0,13.481177,197,213
23452360,0,0,1,0,0,0,1,0,12.670773,211,241
23450856,1,0,1,0,1,0,0,0,13.57974,212,239
23451604,1,0,1,1,0,0,1,0,12.15332,217,217
23450171,0,1,1,0,1,0,0,0,12.4846,218,217
23450181,0,0,0,0,0,1,0,0,12.637919,225,235
23450703,0,0,1,0,1,0,0,0,12.366872,222,225
23450011,0,0,1,1,0,0,1,0,12.19165,181,185
23451156,0,0,0,0,1,0,0,0,12.03833,202,211
23451064,1,0,1,0,1,0,0,0,13.229295,206,222
23452516,1,0,1,0,0,1,0,0,12.635181,232,228
23450367,0,0,1,0,0,0,1,0,12.774812,214,221
23450961,0,0,1,0,0,0,1,0,13.155373,216,230
23451376,0,0,0,0,0,1,0,0,12.985626,206,217
23451734,0,0,0,0,0,0,1,0,12.563997,200,217
23452334,0,0,1,0,0,0,1,0,12.881588,214,220
23451954,0,0,0,0,0,1,0,0,12.098563,217,229
23450184,1,1,0,0,0,1,0,0,12.996578,226,236
23450798,0,0,1,0,1,0,0,0,13.357974,199,207
23452207,1,1,0,0,1,0,0,0,12.881588,199,222
23451778,1,1,0,0,1,0,0,0,14.568104,199,213
23450040,0,0,1,0,0,1,0,0,12.939083,233,236
23450421,1,0,0,0,0,1,0,0,12.569473,209,240
23450359,0,0,0,0,0,1,0,0,13.114305,209,230
23452757,1,0,0,0,0,0,0,0,12.752909,227,215
23450157,0,0,1,0,1,0,0,0,11.972621,209,220
23450615,0,0,1,0,1,0,0,0,12.172485,219,219
23451330,1,NA,1,1,0,0,1,0,14.056126,208,225
23451853,0,0,1,1,0,0,1,0,11.830253,212,209
23452612,1,0,1,0,0,1,0,0,12.325804,229,231
23451150,0,0,0,0,1,0,0,0,11.726215,210,207
23451484,0,0,1,1,0,0,1,0,12.355921,215,220
23452418,1,0,1,0,1,0,0,0,12.421629,217,220
23450382,0,1,0,0,0,1,0,0,12.440794,196,204
23452385,1,0,1,0,0,0,1,0,12.142368,240,239
23452214,1,0,1,0,0,1,0,0,12.449008,210,219
23451584,1,0,1,0,0,0,1,0,13.125257,238,245
23450997,1,0,0,0,0,1,0,0,13.420945,204,218
23450198,1,0,0,1,0,0,0,1,12.194387,215,206
23452606,1,0,1,0,0,1,0,0,12.120465,217,212
23451472,1,0,1,1,0,0,1,0,12.876112,209,238
23451495,0,0,1,0,0,0,1,0,12.618754,200,213
23450797,1,0,0,0,1,0,0,0,13.486653,212,231
23452343,1,0,1,0,0,0,1,0,12.117728,208,205
23450745,0,0,1,0,1,0,0,0,12.914442,205,225
23452584,0,0,1,0,1,0,0,0,12.40794,221,214
23452436,1,0,1,1,0,0,1,0,12.47091,201,224
23450981,0,0,0,0,1,0,0,0,13.765914,220,217
23451502,0,NA,1,0,0,0,1,0,12.648871,227,223
23451061,1,0,0,0,0,0,1,0,13.782341,222,225
23450342,0,1,1,1,0,0,1,0,13.297741,229,219
23452476,1,0,0,0,0,1,0,0,12.761123,220,212
23450882,0,0,1,0,1,0,0,0,12.558522,234,240
23451699,1,0,1,0,0,1,0,0,13.034908,231,221
23451759,1,1,0,0,0,1,0,0,13.100616,221,224
23452058,0,0,0,0,0,1,0,0,12.744695,213,223
23451774,1,0,1,0,0,0,1,0,14.269678,223,210
23450584,1,0,0,0,1,0,0,0,12.668036,225,192
23451232,1,0,1,0,1,0,0,0,12.199863,220,225
23451558,1,1,1,1,0,0,1,0,12.731006,200,213
23450212,1,1,1,0,1,0,0,0,12.156057,199,211
23451382,0,NA,1,NA,1,0,0,0,12.752909,205,223
23452667,0,0,1,0,1,0,0,0,12.438056,222,219
23451274,1,0,1,0,0,0,0,0,13.686516,208,220
23452230,1,0,1,0,1,0,0,0,12.865161,204,202
23450048,0,0,0,0,0,1,0,0,12.503765,214,232
23450443,1,0,1,0,0,0,0,0,12.350445,221,222
23451257,1,0,1,0,0,0,1,0,11.791923,220,219
23452355,0,0,0,0,1,0,0,0,12.813142,206,231
23451672,1,1,0,0,0,0,1,0,13.431896,218,211
23450898,0,0,0,0,1,0,0,0,12.988364,206,227
23450848,1,1,0,0,0,1,0,0,13.05681,206,226
23450638,1,0,1,0,1,0,0,0,14.576318,213,223
23451016,0,0,1,0,1,0,0,0,12.325804,194,214
23450632,0,0,1,1,1,0,0,0,13.054073,217,216
23450182,1,1,0,0,1,0,0,0,12.229979,195,224
23451726,1,1,1,0,0,0,1,0,14.245038,213,222
23452037,1,0,1,0,1,0,0,0,12.120465,191,195
23452451,1,1,0,0,0,1,0,0,13.475702,229,227
23451065,0,0,1,0,0,1,0,0,12.005476,214,234
23451208,1,0,1,1,1,0,0,0,13.355236,216,217
23450952,0,0,0,0,0,1,0,0,12.73922,203,216
23452108,1,0,0,0,0,1,0,0,13.568789,227,209
23452369,0,0,1,1,0,0,1,0,12.908966,219,198
23451869,1,0,1,0,1,0,0,0,13.201916,223,226
23452696,0,0,1,0,0,0,0,0,12.334018,220,218
23452680,0,0,0,0,0,1,0,0,12.498289,230,229
23452005,0,0,0,0,0,1,0,0,12.353183,219,233
23452228,1,0,1,0,1,0,0,0,13.40178,192,201
23451467,0,0,1,1,0,0,1,0,12.295688,226,229
23450459,0,0,0,0,1,0,0,0,12.867899,217,228
23450310,1,0,0,0,0,1,0,0,12.930869,201,215
23451409,0,NA,0,NA,0,1,0,0,12.673511,222,221
23451690,1,0,1,1,0,0,1,0,12.049281,201,209
23452444,1,0,1,0,0,1,0,0,12.851472,214,246
23452683,1,0,0,0,0,1,0,0,12.394251,210,217
23450109,1,0,1,1,0,0,1,0,11.800137,221,224
23452292,0,0,1,0,1,0,0,0,12.40794,224,237
23450329,1,0,0,0,0,1,0,0,12.33128,236,244
23450432,0,0,0,0,0,1,0,0,12.43258,222,237
23450292,1,0,0,0,0,1,0,0,13.850787,234,228
23452229,NA,0,1,0,NA,NA,NA,NA,NA,208,220
23450096,0,0,0,0,0,1,0,0,12.394251,226,209
23450729,1,0,1,0,1,0,0,0,12.566735,239,229
23450884,1,0,1,0,0,1,0,0,12.410678,227,231
23450452,0,0,0,0,0,1,0,0,12.1013,239,239
23450439,0,0,1,0,0,1,0,0,12.996578,208,233
23451717,1,0,1,0,1,0,0,0,12.344969,212,222
23452652,0,0,1,0,1,0,0,0,12.098563,203,208
23450250,0,0,1,0,0,1,0,0,12.569473,212,220
23451657,0,0,1,0,0,0,1,0,12.892539,204,210
23451214,0,0,1,0,1,0,0,0,12.049281,221,229
23452302,1,0,1,0,0,0,1,0,12.136893,215,231
23451311,1,0,1,0,1,0,0,0,12.240931,231,232
23451956,0,0,0,0,1,0,0,0,12.1013,197,222
23451573,0,0,1,0,1,0,0,0,12.208077,182,187
23451722,0,0,0,0,0,0,1,0,12.005476,211,212
23450203,0,0,1,1,0,0,1,0,12.109514,207,226
