"SubjectID","Female","Age","Neuroticism","Extraversion","Happiness","ERA","QSR"
"ID100",0,31,2.75,3,5.75,0.336425,25.75
"ID101",0,50,3,3,5.25,0.47615,17
"ID102",0,54,3.75,2.625,4,0.39225,20.25
"ID103",1,21,4.375,4.625,3.25,0.347320833,24.75
"ID104",1,47,4,2.125,3.75,0.383666667,19.25
"ID105",1,22,2.75,3.75,6.5,0.460458333,26
"ID106",0,70,2.875,3.625,5.25,0.479720833,20.25
"ID107",0,55,2,2.125,4.5,0.397020833,10.5
"ID108",0,47,3,4,5.25,0.438141667,21.25
"ID109",1,60,3.5,3.125,4.25,0.439841667,22
"ID110",0,46,3,2.875,6,0.390379167,21.5
"ID112",1,56,2,4.5,5.75,0.3884625,23.25
"ID113",1,48,4.625,2.5,5.5,0.381504167,18
"ID114",1,53,3.625,1.625,3.75,0.3957125,15
"ID115",0,33,2.875,3.625,5.5,0.348870833,22.5
"ID116",0,54,1.875,4,5.25,0.349870833,19
"ID117",1,47,3,2.625,3.5,0.390016667,9
"ID118",1,21,2.625,3,4.75,0.4033375,21.75
"ID119",1,55,4.375,2.875,4.25,0.422741667,9.5
"ID120",0,59,2.625,3.625,5.75,0.456829167,18
"ID121",1,50,4.25,3.375,3.25,0.352658333,17.5
"ID122",1,58,2.875,2.875,5.5,0.2516625,20
"ID123",1,46,1.875,3.25,6,0.439829167,22
"ID124",0,51,2.125,3.375,5.5,0.398145833,23.25
"ID125",0,56,3.75,4.25,4,0.276058333,15.75
"ID126",1,22,2.5,4.75,5.25,0.4567375,26.75
"ID127",0,54,2.5,3.625,6.5,0.254591667,18.25
"ID128",1,58,3.625,4.125,4.25,0.3497875,15
"ID129",0,56,3.375,3.75,4.75,0.375620833,21.75
"ID130",0,21,3.125,4.625,5.75,0.443995833,20.5
"ID132",1,21,3.916666667,3.166666667,4.25,0.422575,25.25
"ID133",1,22,2.875,3.5,5.5,0.463925,23.5
"ID134",0,50,2.625,2.25,6.25,0.387083333,20.75
"ID135",0,28,3.125,3.5,5.25,0.414991667,20.75
"ID137",0,54,1.625,3.125,6.25,0.3541125,17
"ID139",0,20,3.375,4.25,5,0.257841667,23.5
"ID141",1,45,3,3.875,3.25,0.422641667,23
"ID142",1,49,2.875,2.5,4.5,0.410058333,21.25
"ID143",0,20,3.125,3.625,5.75,0.3036375,23.5
"ID144",0,24,3.416666667,2.333333333,3.25,0.41385,23.75
"ID145",1,22,2.875,3.875,6.25,0.42345,26
"ID146",1,21,3.083333333,4,5.5,0.396116667,25
"ID147",0,55,2.75,3.875,6,0.349579167,17.75
"ID148",0,55,2.75,3,4.5,0.3472625,12.75
"ID149",1,54,2.75,3.125,5.5,0.268916667,23.75
"ID150",1,22,2.75,3.625,5.75,0.348820833,23.5
"ID151",0,59,4.25,3.125,5,0.20275,14
"ID152",1,50,1.75,3.875,5.75,0.441558333,18.5
"ID153",0,39,1.875,4.125,5.25,0.401658333,24
"ID154",1,21,3.375,3.125,4.25,0.370045833,26
"ID155",1,59,2.375,3.875,7,0.323466667,23.25
"ID156",1,56,3.75,3.75,4.75,0.481533333,25.75
"ID157",0,56,2.375,3,4.75,0.170125,16
"ID158",1,57,2.875,3,4,0.444733333,9.75
"ID159",1,25,3.375,3.5,1.5,0.385191667,23.25
"ID160",0,65,3.875,4,5.5,0.4426375,19.25
"ID161",1,52,2.25,3,5.75,0.4353,25.75
"ID162",1,50,4,4.25,5.75,0.245108333,23.5
"ID164",1,20,2.5,2.75,4,0.413416667,16.75
"ID165",1,62,2.75,3.875,3.75,0.376075,11.75
"ID166",1,48,2.75,4.5,5.5,0.461304167,25.5
"ID167",1,22,2.916666667,2.916666667,5.25,0.364441667,20.75
"ID168",1,21,2.833333333,3.416666667,4.5,0.300491667,23.25
"ID169",0,54,2.375,5,6.25,0.299316667,15
"ID170",0,52,1.875,2.625,6,0.299925,18.75
"ID172",0,22,2.875,2.75,3,0.416366667,19.5
"ID174",1,21,2.875,4.375,5.5,0.407470833,23
"ID175",1,22,3,3.625,6.5,0.373975,21.25
"ID176",1,39,1.875,2.625,4.25,0.4628875,24.5
"ID177",1,22,3.083333333,3.333333333,5.25,0.267929167,21.75
"ID178",0,56,1.875,4.25,6,0.440866667,13.75
"ID179",1,24,1.833333333,3.75,5.75,0.418179167,20.5
"ID181",1,54,3.125,2.875,4.5,0.35305,21.25
"ID182",1,21,2.25,4.5,6.75,0.400541667,20.25
"ID184",1,47,2.875,3.125,4.5,0.301254167,13.75
"ID185",1,23,2.166666667,NA,6,0.433229167,24.25
"ID186",0,50,2.625,2.75,5.5,0.401791667,20
"ID187",0,62,2.25,3,3.25,0.279220833,11.75
"ID188",1,47,3.75,4.5,5.75,0.206104167,25.5
"ID189",0,22,4.916666667,2,1.25,0.410795833,13.25
"ID190",1,55,2.5,2.25,4.25,0.2715125,10.25
"ID191",1,31,2.625,3.75,5.5,0.312916667,20.5
"ID192",0,45,1.875,3.625,5.5,0.355679167,18.75
"ID193",1,57,3.625,3.75,4.75,0.356408333,13.75
"ID194",0,49,4,3.5,5,0.245970833,3.5
"ID195",1,21,3.083333333,3.5,5.25,0.374520833,22
"ID197",1,52,3.125,3.25,5.25,0.323304167,24.25
"ID198",0,73,2.5,2.75,1,0.411883333,8
"ID199",0,50,3.125,3.375,5,0.186370833,17.75
"ID200",1,23,3.375,2.75,6,0.3968,22.75
"ID201",1,21,3.375,3.125,5.5,0.390491667,18.75
"ID203",0,32,3.625,2,1.75,0.4154125,19.5
"ID204",0,33,2.625,2.625,5.75,0.337683333,18
"ID205",0,41,1.625,4.5,7,0.413558333,19.5
"ID206",0,55,1.5,3.375,5.75,0.281920833,19.75
"ID208",1,21,2.125,4.25,6.5,0.41235,23.5
"ID209",1,26,4.25,2.75,4.5,0.343758333,20.75
"ID210",1,31,4.25,2.5,4.75,0.362116667,24
"ID211",1,38,2.375,2.875,5.25,0.445245833,22.25
"ID212",1,21,3.333333333,3.166666667,5.5,0.4191125,23.25
"ID214",0,21,3.125,4.125,5.5,0.3785375,25.25
"ID215",1,23,3.25,4.375,6.5,0.451120833,25.75
"ID216",1,50,1.75,3.625,5.5,0.4379,19.75
"ID217",0,29,3.625,3.5,6.25,0.387070833,21.25
"ID218",1,23,3.875,3,5,0.458716667,19.75
"ID219",0,43,1.75,3.625,5.25,0.390366667,19.25
"ID220",1,54,2.125,3.5,4.25,0.41205,20.75
"ID221",0,45,2.75,4.75,6,0.351145833,22.25
"ID222",0,55,1.5,5,6.75,0.370333333,25.25
"ID223",1,32,2.625,NA,6,0.4509125,19.25
"ID224",1,37,1.625,4.25,5.25,0.328045833,20.75
"ID225",1,22,2.875,2.875,3.75,0.337945833,13.5
"ID226",1,43,4,3.25,5.75,0.414291667,23.5
"ID227",1,48,3.375,4,5.25,0.27585,19.5
"ID228",1,59,4,3.5,6,0.392491667,20
"ID229",1,22,3.75,3.083333333,4.75,0.4646,19.25
"ID230",1,21,3.875,2.75,4.25,0.389308333,21.5
"ID231",0,49,2.875,3.125,5,0.339620833,16
"ID232",1,53,3.5,2.875,5.75,0.3622125,24.5
"ID233",0,45,2.25,3,5.75,0.4124625,16.5
"ID234",1,21,3.583333333,3.666666667,5.25,0.392433333,22.75
"ID235",1,55,2.875,2.75,4,0.355895833,19.5
"ID236",1,22,3.125,3.375,5,0.238516667,24
"ID237",1,46,2.375,3.625,6.25,0.439316667,19.5
"ID238",1,46,2.5,3.625,4.5,0.410804167,8
"ID239",1,48,2.75,3.25,5.5,0.426604167,17
"ID240",0,45,2.125,3.75,5.75,0.473208333,19
"ID241",1,48,2.75,2.75,5.5,0.3734375,12.25
"ID242",1,21,2,4.375,6,0.405979167,24.5
"ID244",1,21,3.375,2.5,4.75,0.392383333,20.75
"ID245",1,44,2.5,3.375,6,0.4795875,19.75
"ID246",1,22,1.875,3.375,6,0.461366667,26.25
"ID247",1,44,3.375,3.875,3.75,0.404341667,12.25
"ID249",1,28,3.625,3.375,4.75,0.450654167,22
"ID250",1,21,2,4.25,6.75,0.398691667,22.25
"ID251",0,65,3.5,3.625,6.5,0.348079167,21
"ID252",0,25,4.375,4.375,2,0.3422375,24.75
"ID253",1,24,3.75,3.5,6,0.349408333,24
"ID254",0,56,3,2.875,5.5,0.4021875,17.75
"ID255",1,52,3.875,3.125,2.75,0.3565125,14.5
"ID256",0,46,2.75,2.875,5.75,0.303829167,19.5
"ID257",1,21,3.25,3.5,4.75,0.423545833,24.5
"ID258",1,31,3,3,5.25,0.400345833,18.5
"ID259",0,33,2,3.125,6.5,0.375683333,23.25
"ID260",1,39,3.75,NA,5.25,0.356225,23
"ID261",0,46,2.375,4.625,5,0.436054167,13.5
"ID262",0,21,3.625,3.125,7,0.469508333,18.75
"ID263",0,49,2.875,2.75,5.25,0.4094,13
"ID264",0,52,2.75,3.5,5.75,0.409908333,11.5
"ID265",0,21,2.166666667,3.333333333,5.5,0.462208333,24
"ID266",1,22,3.125,2.75,5,0.351279167,20.5
"ID267",1,20,2.416666667,2.583333333,4,0.379629167,20
"ID268",0,45,3.125,2.625,6,0.343991667,14.75
"ID269",0,52,3.375,3.125,4.25,0.38495,13.75
"ID270",1,56,1.375,4.875,6.5,0.339270833,23.75
"ID271",1,32,4.25,4.125,4.25,0.4462875,23
"ID272",0,20,2.166666667,4.166666667,6,0.40285,26
"ID273",1,47,2,4.25,5.5,0.352458333,17.5
"ID274",0,20,1.333333333,4.166666667,6.75,0.4359375,19.25
"ID275",1,59,3.125,3.875,6,0.4358125,22.25
"ID277",1,42,3.25,3,4,0.372933333,21.5
"ID279",0,18,3.125,3.875,5,0.2850125,22
"ID280",1,21,3.166666667,3.75,5.5,0.356645833,20.25
"ID281",1,56,3.125,5,6.25,0.445829167,21.25
"ID283",1,48,3.5,4,7,0.379325,19
"ID284",1,53,2.875,3.5,4,0.198270833,15
"ID287",1,48,2.125,3.25,7,0.377970833,22
"ID289",1,22,1.666666667,3.75,6,0.394770833,22.5
"ID290",1,39,2.875,3.875,4.75,0.393491667,20.25
"ID291",0,58,2.125,3.75,5,0.427733333,18
"ID293",1,57,3.75,4.625,4.75,0.377145833,20
"ID294",0,51,2,4.375,5.5,0.375370833,20.75
"ID295",0,20,3.25,3.5,4.5,0.385266667,18.25
"ID296",1,50,4.125,3.375,4.25,0.260066667,16
"ID297",0,25,2.166666667,3.166666667,5.25,0.429204167,21
"ID298",1,50,3.375,2.75,5.5,0.1490125,21.75
"ID300",0,47,3,3.25,4.25,0.444316667,18.5
"ID301",1,22,3.125,4.125,7,0.447916667,21.25
"ID302",1,49,3.625,3.25,4,0.420641667,18.25
"ID303",1,45,4,2.25,2,0.384220833,14.75
"ID304",1,23,2.75,3.666666667,5.5,0.438320833,25.5
"ID305",0,25,3.625,2.625,4.75,0.3261375,23
"ID306",0,39,3.25,4.75,6.25,0.422283333,26.75
"ID308",1,43,2.875,2.25,2.75,0.443875,18.25
"ID309",1,30,2.5,4.125,4.5,0.379429167,23
"ID310",1,24,3.25,3,4,0.4569625,21.75
"ID311",1,21,2.875,4.625,6.25,0.383666667,22.25
"ID312",1,43,3.375,3.375,4,0.39375,20
"ID313",0,25,1.5,3.875,5.5,0.299475,22.75
"ID314",1,63,3.125,4.75,5.5,0.3622125,18.75
"ID315",1,27,3.333333333,3.75,4.5,0.349304167,23
"ID316",0,76,2.875,1.75,6.5,0.400304167,12.75
"ID317",0,22,2.5,2.25,3.75,0.4572,14.5
"ID318",1,25,4.125,2.375,4,0.328391667,15
"ID319",1,53,3.125,2.625,4.75,0.400470833,18
"ID320",0,49,2.125,4.5,7,0.45945,3
"ID321",0,46,2.5,3.25,5.5,0.301941667,21
"ID322",0,60,2.75,3.125,4.5,0.2600625,18.25
"ID323",1,21,3,2.5,3.5,0.349545833,21.75
"ID324",1,23,3.083333333,3.5,4,0.450125,21.25
"ID325",1,50,2.75,3.5,5.5,0.374683333,13.5
"ID326",1,22,3.375,3.875,6.25,0.4230125,23.25
"ID327",1,45,3.375,3.625,4.75,0.362445833,14.75
"ID328",0,22,2.875,4.25,6,0.431879167,24.5
"ID329",0,43,3.625,3.125,4,0.252041667,16.75
"ID330",1,38,2.25,4.5,6.5,0.412858333,19.75
"ID331",1,59,3.25,2.75,4,0.430441667,11.5
"ID332",0,59,2.375,4.125,5.5,0.315266667,20
"ID333",0,56,2.125,3.5,5.75,0.469091667,19.75
"ID334",1,49,2.125,2.625,5.75,0.408283333,21.5
"ID335",1,28,3.125,3.125,5,0.271129167,17.75
"ID336",1,21,3.375,2.625,6,0.346725,24
"ID337",1,49,2.625,4.25,4,0.360375,20.75
"ID338",1,51,2.375,3.875,5,0.391608333,21.25
"ID339",1,54,4.375,2.25,3.75,0.376295833,16.75
"ID340",0,49,2.25,3.125,5.5,0.373083333,22.5
"ID342",0,51,2.75,3.25,5.25,0.350720833,17.5
"ID343",0,49,2.375,3.5,4.75,0.421395833,25.25
"ID344",1,21,3.666666667,3.333333333,3.75,0.4215125,20.5
"ID346",1,48,2.375,3.625,5.25,0.4844,17.75
"ID347",0,70,1.875,2.5,4.75,0.239875,22
"ID348",0,21,1.625,4,5,0.409908333,20.5
"ID349",0,22,3,3.875,6,0.385304167,26
"ID350",1,21,3,2.875,5.25,0.425158333,21.75
"ID351",0,54,2.375,3.375,7,0.3829125,24.25
"ID352",1,52,2.5,4.5,5.75,0.383258333,18.25
"ID353",1,57,3.125,4,5.75,0.343883333,24.5
