"age","female","full_ed","child","marital","practice","coherance","coherance_mean","quallife","quallife_mean","impact","impact_mean"
36,1,0,1,"Cohabitant","Nursing",32,2.462,79,5.043,39,2.6
23,1,1,0,"Single","SurgicalWard",36,2.769,70,4.375,24,1.6
23,1,1,0,"Single","MedicalWard",37,2.846,79,4.938,59,3.933
31,1,0,1,"Single","Nursing",38,2.923,74,5.946,29,1.933
24,1,1,0,"Single","MedicalWard",38,2.923,74,4.625,14,0.933
23,1,1,0,"Boy/Girlfriend","MedicalWard",38,2.923,41,2.562,53,3.533
31,0,1,0,"Single","Nursing",41,3.154,68,5.603,23,1.533
36,1,1,0,"Single","SurgicalWard",41,3.154,86,5.375,16,1.067
25,0,1,0,"Single","Nursing",42,3.231,80,4.795,14,0.933
35,1,1,0,"Single","Nursing",42,3.231,62,5.073,39,2.6
31,1,0,0,"Single","Nursing",43,3.308,72,4.542,26,1.733
23,1,1,0,"Single","SurgicalWard",43,3.308,80,5,17,1.133
24,1,1,0,"Single","Nursing",44,3.385,68,4.434,4,0.267
25,1,1,0,"Single","MedicalWard",45,3.462,56,3.5,55,3.667
25,1,1,0,"Single","SurgicalWard",46,3.538,79,4.938,67,4.467
31,0,1,0,"Boy/Girlfriend","Nursing",47,3.615,81,4.744,39,2.6
28,1,1,0,"Single","SurgicalWard",47,3.615,80,5,12,0.8
26,1,1,0,"Boy/Girlfriend","MedicalWard",47,3.615,81,5.062,2,0.133
26,0,1,0,"Single","Nursing",48,3.692,75,5.557,21,1.4
27,1,1,0,"Married","Nursing",48,3.692,87,4.832,2,0.133
40,1,0,1,"Single","Nursing",49,3.769,85,4.381,8,0.533
32,1,1,0,"Married","SurgicalWard",49,3.769,79,4.938,28,1.867
32,1,0,0,"Single","Nursing",49,3.769,77,4.681,29,1.933
28,1,1,0,"Single","SurgicalWard",49,3.769,79,4.938,4,0.267
24,1,1,0,"Cohabitant","MedicalWard",49,3.769,61,3.812,47,3.133
24,1,1,0,"Married","SurgicalWard",49,3.769,48,3,27,1.8
25,1,1,0,"Single","Nursing",50,3.846,69,5.727,14,0.933
24,1,1,0,"Single","MedicalWard",50,3.846,86,5.375,18,1.2
24,1,1,0,"Cohabitant","SurgicalWard",50,3.846,83,5.188,55,3.667
24,1,1,0,"Cohabitant","SurgicalWard",50,3.846,69,4.312,47,3.133
23,1,1,0,"Single","SurgicalWard",50,3.846,77,4.812,10,0.667
27,1,1,0,"Boy/Girlfriend","MedicalWard",51,3.923,90,5.625,40,2.667
23,1,1,0,"Boy/Girlfriend","MedicalWard",51,3.923,86,5.375,32,2.133
23,1,1,0,"Boy/Girlfriend","SurgicalWard",51,3.923,60,3.75,20,1.333
57,0,1,1,"Boy/Girlfriend","MedicalWard",52,4,81,5.062,34,2.267
46,1,0,1,"Married","Nursing",52,4,69,4.352,28,1.867
42,1,1,1,"Married","SurgicalWard",52,4,68,4.25,37,2.467
28,1,1,0,"Boy/Girlfriend","Nursing",52,4,73,4.49,19,1.267
27,1,0,0,"Single","MedicalWard",52,4,73,4.562,42,2.8
25,1,1,0,"Single","MedicalWard",52,4,90,5.625,19,1.267
25,1,1,0,"Single","SurgicalWard",52,4,85,5.312,20,1.333
25,1,1,0,"Married","MedicalWard",52,4,93,5.812,14,0.933
24,1,1,0,"Boy/Girlfriend","Nursing",52,4,82,5.932,10,0.667
46,1,0,1,"Married","Nursing",53,4.077,60,4.407,41,2.733
40,1,0,1,"Married","Nursing",53,4.077,70,4.855,10,0.667
31,1,1,0,"Single","SurgicalWard",53,4.077,77,4.812,49,3.267
26,1,1,0,"Single","MedicalWard",53,4.077,77,4.812,27,1.8
26,1,1,1,"Single","Nursing",53,4.077,71,4.766,37,2.467
25,1,1,0,"Single","SurgicalWard",53,4.077,82,5.125,16,1.067
24,1,1,0,"Boy/Girlfriend","MedicalWard",53,4.077,82,5.125,7,0.467
23,1,1,0,"Single","MedicalWard",53,4.077,85,5.312,40,2.667
23,1,1,0,"Boy/Girlfriend","Nursing",53,4.077,77,5.237,15,1
22,1,1,0,"Boy/Girlfriend","Nursing",53,4.077,78,4.766,0,0
26,0,1,0,"Single","SurgicalWard",54,4.154,78,4.875,12,0.8
49,1,0,1,"Cohabitant","Nursing",54,4.154,71,4.909,27,1.8
34,1,1,1,"Married","SurgicalWard",54,4.154,74,4.625,39,2.6
27,1,1,0,"Cohabitant","MedicalWard",54,4.154,76,4.75,34,2.267
25,1,1,0,"Boy/Girlfriend","MedicalWard",54,4.154,72,4.5,31,2.067
24,1,1,0,"Cohabitant","MedicalWard",54,4.154,79,4.938,27,1.8
24,1,1,0,"Single","MedicalWard",54,4.154,84,5.25,31,2.067
22,0,1,0,"Single","Nursing",55,4.231,91,4.209,19,1.267
48,1,0,1,"Married","Nursing",55,4.231,82,4.067,43,2.867
34,1,1,1,"Single","SurgicalWard",55,4.231,86,5.375,51,3.4
27,1,1,0,"Boy/Girlfriend","MedicalWard",55,4.231,85,5.312,16,1.067
26,1,1,1,"Cohabitant","SurgicalWard",55,4.231,82,5.125,0,0
26,1,1,0,"Single","Nursing",55,4.231,88,5.474,67,4.467
NA,1,1,0,"Single","MedicalWard",55,4.231,79,4.938,27,1.8
24,1,1,0,"Boy/Girlfriend","MedicalWard",55,4.231,81,5.062,39,2.6
24,1,1,0,"Single","Nursing",55,4.231,86,5.635,11,0.733
48,1,0,1,"Single","Nursing",56,4.308,76,4.992,30,2
30,1,0,1,"Cohabitant","MedicalWard",57,4.385,85,5.312,39,2.6
27,1,1,0,"Single","Nursing",57,4.385,63,5.338,0,0
23,1,1,0,"Single","MedicalWard",57,4.385,89,5.562,30,2
40,0,1,0,"Cohabitant","MedicalWard",58,4.462,85,5.312,9,0.6
35,0,1,1,"Married","MedicalWard",58,4.462,76,4.75,6,0.4
34,0,0,1,"Cohabitant","Nursing",58,4.462,76,4.698,35,2.333
24,0,1,0,"Single","Nursing",58,4.462,75,5.83,28,1.867
45,1,0,1,"Married","Nursing",58,4.462,77,5.778,29,1.933
36,1,0,1,"Single","Nursing",58,4.462,72,5.117,8,0.533
32,1,0,0,"Married","Nursing",58,4.462,88,5.56,33,2.2
28,1,1,0,"Cohabitant","SurgicalWard",58,4.462,79,4.938,48,3.2
28,1,1,0,"Cohabitant","Nursing",58,4.462,91,4.475,7,0.467
26,1,1,0,"Boy/Girlfriend","SurgicalWard",58,4.462,68,4.25,28,1.867
25,0,1,0,"Single","MedicalWard",59,4.538,85,5.312,9,0.6
63,1,0,1,"Married","Nursing",59,4.538,85,4.836,45,3
60,1,0,1,"Married","Nursing",59,4.538,97,3.909,53,3.533
52,1,1,1,"Married","SurgicalWard",59,4.538,83,5.188,17,1.133
37,1,1,1,"Married","SurgicalWard",59,4.538,91,5.688,43,2.867
35,1,0,1,"Cohabitant","Nursing",59,4.538,81,4.87,31,2.067
27,1,1,0,"Boy/Girlfriend","Nursing",59,4.538,80,4.931,15,1
25,1,1,0,"Cohabitant","MedicalWard",59,4.538,72,4.5,38,2.533
23,1,1,0,"Single","Nursing",59,4.538,76,4.794,1,0.067
22,1,1,0,"Boy/Girlfriend","Nursing",59,4.538,78,5.328,2,0.133
41,1,0,1,"Married","Nursing",60,4.615,92,4.098,29,1.933
27,1,1,0,"Cohabitant","SurgicalWard",60,4.615,91,5.688,29,1.933
27,1,1,0,"Married","MedicalWard",60,4.615,73,4.562,41,2.733
26,1,1,0,"Single","SurgicalWard",60,4.615,70,4.375,6,0.4
25,1,1,0,"Single","MedicalWard",60,4.615,90,5.625,15,1
24,1,1,0,"Cohabitant","SurgicalWard",60,4.615,88,5.5,4,0.267
23,1,1,0,"Cohabitant","SurgicalWard",60,4.615,95,5.938,46,3.067
23,1,1,0,"Cohabitant","SurgicalWard",60,4.615,70,4.375,15,1
23,1,1,0,"Single","SurgicalWard",60,4.615,90,5.625,48,3.2
34,1,0,1,"Married","Nursing",61,4.692,81,4.901,13,0.867
NA,1,1,0,"Single","MedicalWard",61,4.692,80,5,11,0.733
25,1,1,0,"Single","Nursing",61,4.692,80,4.918,6,0.4
24,1,1,0,"Cohabitant","MedicalWard",61,4.692,87,5.438,16,1.067
24,1,1,0,"Single","SurgicalWard",61,4.692,93,5.812,41,2.733
23,1,1,0,"Cohabitant","SurgicalWard",61,4.692,86,5.375,28,1.867
23,1,1,0,"Single","Nursing",61,4.692,89,4.429,12,0.8
22,1,1,0,"Single","Nursing",61,4.692,77,4.863,53,3.533
25,0,1,0,"Single","Nursing",62,4.769,99,5.151,5,0.333
40,1,0,1,"Married","MedicalWard",62,4.769,80,5,23,1.533
26,1,1,0,"Boy/Girlfriend","Nursing",62,4.769,92,4.709,18,1.2
23,1,1,0,"Single","SurgicalWard",62,4.769,96,6,10,0.667
32,0,1,0,"Cohabitant","SurgicalWard",63,4.846,72,4.5,57,3.8
28,0,1,0,"Boy/Girlfriend","SurgicalWard",63,4.846,101,6.312,6,0.4
59,1,0,1,"Single","Nursing",63,4.846,103,5.413,3,0.2
39,1,0,1,"Cohabitant","Nursing",63,4.846,85,5.451,13,0.867
35,1,0,1,"Married","Nursing",63,4.846,77,5.749,11,0.733
33,1,0,1,"Married","Nursing",63,4.846,89,5.611,38,2.533
27,1,1,0,"Single","MedicalWard",63,4.846,91,5.688,15,1
24,1,1,0,"Cohabitant","MedicalWard",63,4.846,76,4.75,39,2.6
22,1,1,0,"Single","Nursing",63,4.846,96,4.452,10,0.667
24,0,1,0,"Cohabitant","SurgicalWard",64,4.923,89,5.562,4,0.267
43,1,0,1,"Single","Nursing",64,4.923,86,4.92,16,1.067
33,1,0,0,"Single","Nursing",64,4.923,74,5.584,13,0.867
29,1,1,0,"Single","Nursing",64,4.923,100,4.616,29,1.933
25,1,1,0,"Cohabitant","MedicalWard",64,4.923,77,4.812,43,2.867
24,1,1,0,"Cohabitant","SurgicalWard",64,4.923,95,5.938,24,1.6
24,1,1,0,"Single","Nursing",64,4.923,79,4.562,18,1.2
23,1,1,0,"Boy/Girlfriend","SurgicalWard",64,4.923,96,6,29,1.933
23,1,1,0,"Single","MedicalWard",64,4.923,87,5.438,45,3
23,1,1,0,"Cohabitant","MedicalWard",64,4.923,86,5.375,6,0.4
23,1,1,0,"Single","Nursing",64,4.923,77,3.944,6,0.4
23,1,1,0,"Single","Nursing",64,4.923,92,4.298,29,1.933
23,1,1,0,"Single","Nursing",64,4.923,94,4.361,27,1.8
22,1,1,1,"Boy/Girlfriend","Nursing",64,4.923,98,5.069,40,2.667
37,1,0,0,"Cohabitant","Nursing",65,5,91,5.825,23,1.533
24,1,1,0,"Cohabitant","SurgicalWard",65,5,95,5.938,18,1.2
24,1,1,0,"Single","SurgicalWard",65,5,83,5.188,15,1
24,1,1,0,"Single","SurgicalWard",65,5,86,5.375,37,2.467
23,1,1,0,"Boy/Girlfriend","SurgicalWard",65,5,87,5.438,8,0.533
23,1,1,0,"Single","Nursing",65,5,103,4.396,1,0.067
33,1,0,1,"Cohabitant","Nursing",66,5.077,73,4.633,24,1.6
27,1,1,0,"Single","MedicalWard",66,5.077,87,5.438,0,0
25,1,1,0,"Boy/Girlfriend","MedicalWard",66,5.077,80,5,4,0.267
30,0,1,0,"Cohabitant","SurgicalWard",67,5.154,84,5.25,1,0.067
32,1,1,0,"Cohabitant","MedicalWard",67,5.154,92,5.75,28,1.867
30,1,1,0,"Single","MedicalWard",67,5.154,100,6.25,12,0.8
28,1,1,0,"Cohabitant","MedicalWard",67,5.154,86,5.375,7,0.467
28,1,0,1,"Cohabitant","Nursing",67,5.154,79,5.268,3,0.2
23,1,1,0,"Single","MedicalWard",67,5.154,86,5.375,6,0.4
22,1,1,0,"Boy/Girlfriend","Nursing",67,5.154,81,4.704,7,0.467
33,0,0,0,"Single","Nursing",68,5.231,80,6.238,16,1.067
25,0,1,0,"Cohabitant","SurgicalWard",68,5.231,98,6.125,18,1.2
22,0,1,0,"Single","Nursing",68,5.231,97,5.132,6,0.4
54,1,0,1,"Married","Nursing",68,5.231,90,5.883,16,1.067
36,1,0,1,"Married","Nursing",68,5.231,93,5.305,1,0.067
24,1,1,0,"Single","SurgicalWard",68,5.231,98,6.125,19,1.267
22,1,1,0,"Single","Nursing",68,5.231,84,4.335,24,1.6
22,1,1,0,"Cohabitant","Nursing",68,5.231,91,4.298,14,0.933
25,0,1,0,"Single","SurgicalWard",69,5.308,95,5.938,7,0.467
24,0,1,0,"Single","MedicalWard",69,5.308,86,5.375,8,0.533
44,1,0,1,"Married","Nursing",69,5.308,86,4.55,18,1.2
40,1,0,1,"Married","Nursing",69,5.308,92,4.005,38,2.533
34,1,1,0,"Single","SurgicalWard",69,5.308,94,5.875,1,0.067
34,1,0,0,"Single","Nursing",69,5.308,80,5.885,1,0.067
23,1,1,0,"Single","SurgicalWard",69,5.308,85,5.312,6,0.4
41,0,0,1,"Married","Nursing",70,5.385,86,3.889,7,0.467
25,0,1,0,"Boy/Girlfriend","SurgicalWard",70,5.385,84,5.25,24,1.6
36,1,1,1,"Boy/Girlfriend","MedicalWard",70,5.385,90,5.625,6,0.4
27,1,1,0,"Boy/Girlfriend","Nursing",70,5.385,90,5.286,20,1.333
23,1,1,0,"Boy/Girlfriend","MedicalWard",70,5.385,95,5.938,15,1.071
23,1,1,0,"Single","SurgicalWard",70,5.385,96,6,11,0.733
40,0,0,1,"Married","Nursing",71,5.462,82,4.91,0,0
50,1,0,1,"Married","Nursing",71,5.462,94,5.906,22,1.467
41,1,1,1,"Married","SurgicalWard",71,5.462,99,6.188,26,1.733
35,1,0,1,"Single","Nursing",71,5.462,96,5.093,11,0.733
35,1,0,1,"Married","Nursing",71,5.462,94,4.285,16,1.067
26,1,1,0,"Single","MedicalWard",71,5.462,91,5.688,17,1.133
25,1,1,0,"Single","SurgicalWard",71,5.462,75,4.688,25,1.667
25,1,1,0,"Boy/Girlfriend","Nursing",71,5.462,97,5.146,18,1.2
23,1,1,0,"Single","SurgicalWard",71,5.462,90,5.625,11,0.733
23,1,1,0,"Single","Nursing",71,5.462,102,4.553,2,0.133
23,1,1,0,"Single","Nursing",71,5.462,93,6.822,12,0.8
22,1,1,0,"Cohabitant","Nursing",71,5.462,93,4.205,9,0.6
36,1,0,1,"Married","Nursing",72,5.538,97,5.083,19,1.267
34,1,1,0,"Cohabitant","MedicalWard",72,5.538,92,5.75,7,0.467
22,1,1,0,"Single","Nursing",72,5.538,86,5.397,10,0.667
40,1,0,1,"Married","Nursing",73,5.615,102,5.339,9,0.6
35,1,0,0,"Single","Nursing",73,5.615,98,5.801,13,0.867
31,1,1,0,"Single","MedicalWard",73,5.615,84,5.25,16,1.067
22,1,1,0,"Boy/Girlfriend","Nursing",73,5.615,92,4.781,16,1.067
23,0,1,0,"Single","Nursing",74,5.692,90,4.599,0,0
34,1,0,1,"Cohabitant","Nursing",74,5.692,95,4.955,11,0.733
30,1,0,0,"Boy/Girlfriend","Nursing",74,5.692,93,4.67,0,0
24,1,1,0,"Single","SurgicalWard",74,5.692,100,6.25,30,2
23,1,1,0,"Single","Nursing",74,5.692,104,5.636,5,0.333
22,1,1,0,"Cohabitant","Nursing",74,5.692,100,4.919,8,0.533
22,1,1,0,"Single","Nursing",74,5.692,82,5.206,29,1.933
23,0,1,0,"Cohabitant","SurgicalWard",75,5.769,99,6.188,12,0.8
41,1,0,1,"Cohabitant","Nursing",75,5.769,85,4.664,17,1.133
39,1,0,1,"Cohabitant","Nursing",75,5.769,77,3.396,5,0.333
32,1,1,1,"Cohabitant","SurgicalWard",75,5.769,94,5.875,20,1.333
23,1,1,0,"Single","SurgicalWard",75,5.769,86,5.375,20,1.333
23,1,1,0,"Cohabitant","MedicalWard",75,5.769,84,5.25,7,0.467
22,1,1,0,"Boy/Girlfriend","Nursing",75,5.769,99,5.491,5,0.333
45,1,0,1,"Cohabitant","Nursing",76,5.846,84,4.712,19,1.267
23,1,1,0,"Single","SurgicalWard",76,5.846,101,6.312,10,0.667
50,1,0,1,"Married","Nursing",77,5.923,101,4.627,23,1.533
43,1,0,1,"Married","Nursing",77,5.923,81,5.456,24,1.6
23,1,1,0,"Boy/Girlfriend","Nursing",77,5.923,89,4.157,15,1
23,1,1,0,"Boy/Girlfriend","Nursing",77,5.923,101,4.616,13,0.867
25,0,1,0,"Cohabitant","SurgicalWard",78,6,94,5.875,15,1
35,1,0,0,"Single","Nursing",78,6,95,5.222,13,0.867
30,1,0,1,"Single","MedicalWard",78,6,103,6.438,35,2.333
NA,1,1,0,"Boy/Girlfriend","MedicalWard",78,6,94,5.875,8,0.533
23,1,1,0,"Single","Nursing",78,6,77,3.921,11,0.733
27,1,1,1,"Married","MedicalWard",79,6.077,100,6.25,21,1.4
27,0,1,0,"Cohabitant","MedicalWard",81,6.231,85,5.312,3,0.2
42,1,0,1,"Married","Nursing",81,6.231,88,5.617,19,1.267
25,1,1,0,"Single","Nursing",81,6.231,94,5.32,4,0.267
23,1,1,0,"Single","Nursing",82,6.308,109,4.738,12,0.8
52,1,1,1,"Married","MedicalWard",83,6.385,103,6.438,15,1
24,1,1,0,"Single","MedicalWard",83,6.385,108,6.75,29,1.933
24,1,1,0,"Boy/Girlfriend","SurgicalWard",84,6.462,97,6.062,10,0.667
22,1,1,0,"Boy/Girlfriend","Nursing",87,6.692,103,6.1,5,0.333
